ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,Unnamed: 20,Unnamed: 21
B07TGJGTFH,($) babynurs,"($) Baby Monitor, 4.3” Video Baby Monitor with Camera Audio, Long Battery Life/VOX, 1000ft Range, Room Temperature & Accurate Audio Sensor, Infrared Night Version, 2-Way Audio, Out of Range Alert",($) Baby,($) Atrocare,1.0,FBA,54.99,13.0,73,"4,014.27","14,149",4.0,166,19.0,5.2x9.5x4.3,1.25,Large Standard-Size,9.0,,,
B00ECHYTBI,($) Infant Optics,($) Infant Optics DXR-8 Video Baby Monitor with Interchangeable Optical Lens,($) Baby,($) Amazon,24.0,AMZ,165.99,30.0,"6,363","1,056,194.37",173,4.5,"40,506",1009.0,8.7x9.5x3.9,2.03,Large Standard-Size,12.0,,,
B08CKSC7Z6,Visit Amazon's Paul  Alster Page,Kin or Country: A Political Thriller,Kindle Store,,,,3.99,0.0,,,"4,793",5.0,26,0.0,,,,,,,
1432867113,Visit Amazon's Kim Michele Richardson Page,The Book Woman of Troublesome Creek (Thorndike Press Large Print Basic),Books,Amazon,7.0,AMZ,31.99,11.5,88,"2,815.12","138,892",4.5,"7,787",1548.0,5.7x8.7x1.0,1.38,Large Standard-Size,1.0,,,
0991301870,Visit Amazon's Boo Walker Page,Red Mountain: A Novel (Red Mountain Chronicles),Books,Amazon,12.0,AMZ,13.49,8.0,634,"8,552.66","4,506",4.0,"2,228",226.0,6.0x8.9x1.0,1.15,Large Standard-Size,2.0,,,
B00L2PB3BW,Beauty by Earth,"Self Tanner - With Organic Aloe Vera & Shea Butter, Sunless Tanning Lotion and Bronzer Buildable Light, Medium or Dark Tan for Natural Looking Fake Tan, Self Tanners Best Sellers (7.5oz)",Beauty & Personal Care,Beauty by Earth,1.0,FBA,29.99,7.0,"7,842","235,181.58","1,315",4.5,"9,094",821.0,2.4x7.7x2.4,0.56,Large Standard-Size,9.0,,,
0143110438,Visit Amazon's Amor Towles Page,A Gentleman in Moscow: A Novel,Books,Amazon,55.0,AMZ,11.44,8.0,"2,137","24,447.28",682,4.5,"19,898",1543.0,5.5x8.5x1.2,0.9,Large Standard-Size,1.0,,,
B07TS6YMTV,Gili,"Gili Friendship Bracelet Making Kit, Best Arts and Crafts Toy for Girls Birthday Gifts Ages 6yr-12yr, Charm Bracelet Making String Sets for 7, 8, 9, 10, 11 Year Old Kids Travel Activities",Toys & Games,GILI TOY,1.0,FBA,28.99,9.77,"1,953","56,617.47","3,321",4.5,142,9.0,11.0x15.0x2.6,1.1,Large Standard-Size,8.0,07/02/2019,,
B00K1HPPXO,Harper Lee,To Kill a Mockingbird,Unknown,,1.0,,28.99,0.0,,,114,5.0,"26,574",636.0,,,,1.0,,,
B000FBFNT2,Visit Amazon's Kristin Hannah Page,Between Sisters: A Novel,Kindle Store,,1.0,,13.99,0.0,,,"4,131",4.5,"2,269",0.0,,,,1.0,,,
B07QW5R8R3,($) Gili,"($) GILI Flower Garden Building Toys, Build a Bouquet Sets for 3, 4, 5, 6 Year Old Toddler Girls, Arts and Crafts for Little Kids Age 3yr Up, Best Top Christmas Birthday Gifts for Creativity Play (120PCS)",($) Toys & Games,($) GILI TOY,1.0,FBA,34.97,11.0,"1,802","63,015.94","4,183",5.0,577,33.0,7.2x11.2x6.3,2.0,Large Standard-Size,7.0,,,
B07W4DJ171,($) GoBambinos,($) Baby Soother Sound Machine - White Noise Machine & Portable Lullaby - Plush Teddy Bear Crib Projector Night Light - Sleep Susher for Babies & Toddlers,($) Baby,($) GoBambinos,1.0,FBA,32.99,10.0,138,"4,552.62","11,774",4.5,226,30.0,6.5x9.8x6.1,1.1,Large Standard-Size,9.0,,,
1250080401,Visit Amazon's Kristin Hannah Page,The Nightingale: A Novel,Books,Amazon,44.0,AMZ,8.29,7.94,"4,046","33,541.34",206,5.0,"49,560",1802.0,5.5x8.1x1.7,1.19,Large Standard-Size,3.0,,,
1507212305,Visit Amazon's Stephanie Laska Page,"The DIRTY, LAZY, KETO Cookbook: Bend the Rules to Lose the Weight!",Books,Amazon,30.0,AMZ,13.99,8.8,"1,184","16,564.16","1,387",4.5,"1,674",312.0,7.0x9.1x0.6,1.08,Large Standard-Size,6.0,,,
B01ES349CY,LilyAna Naturals,"LilyAna Naturals Retinol Cream for Face - Retinol Cream, Anti Aging Cream, Retinol Moisturizer for Face, Wrinkle Cream for Face, 2.5% Retinol Complex - 1.7oz",Beauty & Personal Care,NaturalBeautyInc,1.0,FBA,19.99,6.0,"27,627","552,263.73",489,4.5,"15,382",1508.0,2.5x6.7x2.0,0.19,Large Standard-Size,8.0,,,
B001KYT6CS,sodastream,"SodaStream Jet Sparkling Water Maker, Kit w/60l Cylinder, Silver",Kitchen & Dining,Amazon,1.0,AMZ,79.99,19.0,"2,385","190,776.15","1,476",4.0,"2,394",260.0,8.0x17.0x7.8,6.5,Large Standard-Size,7.0,05/05/2003,,
B087WRXHZC,Visit Amazon's Kevin Miller Page,The Silver Waterfall: A Novel of the Battle of Midway,Kindle Store,,,,4.99,0.0,,,"8,442",4.5,122,0.0,,,,,,,
B004RFAIWO,Isabel Wilkerson,The Warmth of Other Suns: The Epic Story of America's Great Migration,Unknown,,1.0,,34.99,0.0,,,194,5.0,"2,517",949.0,,,,1.0,,,
1101967706,Visit Amazon's John Grisham Page,The Rooster Bar: A Novel,Books,Amazon,23.0,AMZ,4.79,5.8,740,"3,544.60","3,872",4.0,"8,397",492.0,4.1x7.5x1.0,0.49,Large Standard-Size,1.0,,,
B0011UCPM4,Visit Amazon's David Baldacci Page,The Whole Truth (A. Shaw Book 1),Kindle Store,,1.0,,10.99,0.0,,,"11,939",4.5,"1,953",0.0,,,,1.0,,,
B07L1B4R4C,($) Bambi Bamboo,"($) Bambi Bamboo Hooded Baby Towel for Sensitive Skin - Super Soft, Absorbent, Hypoallergenic - Botanical Floral, 2 Layers Reversible - Sized for Infant and Toddler",($) Baby,($) Bambi Bamboo,1.0,FBA,27.97,9.0,95,"2,657.15","13,932",4.5,81,10.0,9.1x9.5x2.0,1.25,Large Standard-Size,9.0,,,
B082S8SFYH,($) Cimkiz,($) Baby Socks Winter Thick Warm Wool Socks for Toddler Girls Boys Fuzzy Cute Socks 5 Pairs,"($) Clothing, Shoes & Jewelry",($) LanErRun,,,14.99,0.0,,,"144,514",5.0,7,,,,,,12/15/2019,,
